i,label,group,buffer_length_time,buffer_length_items,buffer_weight,stm_duration,stm_weight,ltm_half_life,ltm_weight,noise,order_bound,only_learn_from_buffer,only_predict_from_buffer,alphabet_size,tone_len_ms,error_count,mean,sd,n,se,ci_95_min,ci_95_max
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,10,25,0,6.231805929919138,0.6192256930329659,742,0.022732490341629687,6.187251067570639,6.276360792267637
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,10,50,0,6.230263157894737,0.6231205706319538,760,0.022602958747424025,6.185962172805741,6.274564142983733
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,10,75,0,6.266576454668471,0.5918191586728478,739,0.02177041967046563,6.223907216186036,6.309245693150905
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,20,25,0,6.181938911022576,0.5579149648156984,753,0.020331551572119383,6.142089802191403,6.221788019853749
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,20,50,0,6.2162883845126835,0.5675744452913536,749,0.020738718874232395,6.175641242433687,6.25693552659168
1,"L4, no decay",Original PPM,0,0,0,0,1,999999,1,0,4,FALSE,FALSE,20,75,0,6.252873563218391,0.5894690366268762,696,0.02234376617085879,6.209080586244523,6.296666540192259
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,10,25,0,5.845013477088949,0.4010387152135991,742,0.014722594399401602,5.81615772230713,5.873869231870767
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,10,50,0,5.972368421052631,0.3527040973573015,760,0.01279392229746058,5.947292794128605,5.997444047976658
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,10,75,0,6.469553450608931,0.572713969480707,739,0.02106762392534432,6.4282616664754215,6.51084523474244
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,20,25,0,6.00796812749004,0.4059926619238132,753,0.014795195082341657,5.978970077984406,6.036966176995674
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,20,50,0,7.327102803738318,0.5905447194078284,749,0.02157803442361568,7.284810633410865,7.36939497406577
2,L4 + exp.decay,`+ Exponential decay,0,0,0,0,1,0.26,1,0,4,FALSE,FALSE,20,75,0,18.94683908045977,4.373733411062688,696,0.16578593710311537,18.621904614594442,19.2717735463251
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,10,25,5,8.592944369063773,1.5062746077365388,737,0.05548433829787102,8.484197064293909,8.701691673833636
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,10,50,4,9.584656084656086,1.774574666167639,756,0.0645406566195571,9.458158722143187,9.711153447168984
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,10,75,3,10.839673913043478,2.1050898866646035,736,0.07759464269292995,10.687591207972082,10.991756618114875
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,20,25,5,9.532085561497325,1.8147948967955467,748,0.06635547317366126,9.402031223899836,9.662139899094814
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,20,50,2,12.958500669344042,3.5730060189886013,747,0.13072945387099777,12.702275648038297,13.214725690649788
3,L4 + retrieval noise,`+ Retrieval noise,0,0,0,0,1,1.65,0.65,0.5,4,FALSE,FALSE,20,75,3,19.171717171717173,5.84241092355385,693,0.22193483892076085,18.736732880517785,19.60670146291656
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,10,25,7,8.285714285714286,1.3450889580905465,735,0.04961435365573498,8.188471939432812,8.38295663199576
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,10,50,2,9.034300791556728,1.5527315086448805,758,0.056397748064318964,8.9237632365414985,9.144838346571957
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,10,75,3,10.052989130434783,1.8035993581667884,736,0.06648155437195706,9.922687678229506,10.18329058264006
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,20,25,6,9.082998661311914,1.5708700834356284,747,0.05747513074941829,8.970349475036324,9.195647847587503
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,20,50,2,11.883534136546185,2.906696407931415,747,0.10635046007709428,11.675091065055815,12.091977208036555
4,L4 + buffer 5,`5-item buffer,1000,5,2,0,1,1.45,0.7,0.5,4,TRUE,TRUE,20,75,5,17.234442836468887,5.282459388307581,691,0.2009542257643763,16.84057979142958,17.628305881508194
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,10,25,4,8.512195121951219,1.4513317909090167,738,0.05342426150367427,8.407485493503367,8.61690475039907
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,10,50,3,8.5667107001321,1.4915463326665974,757,0.054211173548493266,8.460458752417404,8.672962647846797
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,10,75,1,8.815718157181571,1.5404706277371494,738,0.05670550743149675,8.704577404890768,8.926858909472374
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,20,25,2,10.48202396804261,2.112031351903841,751,0.07706911860904765,10.33097127124863,10.633076664836588
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,20,50,1,13.17379679144385,3.4709362063778575,748,0.12690999668142813,12.925057768670154,13.422535814217547
5,L4 + buffer 10,`10-item buffer,1000,10,1.5,0,1,1.9,0.4,0.35,4,TRUE,TRUE,20,75,4,17.320809248554912,5.232479599531099,692,0.19890902864272209,16.930954716215332,17.710663780894492
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,10,25,4,8.52710027100271,1.4141934114036372,738,0.052057178862098985,8.425070075296237,8.629130466709185
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,10,50,3,8.591809775429326,1.395793577073091,757,0.05073098045120895,8.492378880844552,8.6912406700141
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,10,75,3,8.688858695652174,1.4445528184569916,736,0.05324692333059221,8.584496643636648,8.7932207476677
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,20,25,7,14.347184986595174,3.939658808596264,746,0.14424115720499694,14.064477513385,14.629892459805347
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,20,50,3,15.758713136729222,4.54988286074027,746,0.16658304712793065,15.432216363923539,16.085209909534903
6,L4 + buffer 15,`15-item buffer,1000,15,1,0,1,3.5,0.6,0.8,4,TRUE,TRUE,20,75,2,16.98414985590778,4.936074125809964,694,0.18737081149994478,16.616909813613844,17.351389898201717
